time,open,high,low,close,Volume,Volume MA
1246406400,0.00076392,0.00135534,0.00061337,0.00068879,0,NaN
1262304000,0.00071822,0.0058,0.00071822,0.0054,0,NaN
1277942400,0.0055,0.5,0.0055,0.3,2666237.767,NaN
1293840000,0.292,31.9099,0.289,16.10098,4148226.59987036,NaN
1309478400,16.10098,16.74,1.994,4.72202,9363555.12833192,NaN
1325376000,4.70785,7.22,3.878,6.68999,12082868.51100889,NaN
1341100800,6.68998,15.4,6.4,13.51001,7923910.0530248,NaN
1356998400,13.51001,266,13.16123,97.51,12987591.03532823,NaN
1372636800,97.50888,1242,65.42448,739.28,4882330.89087522,NaN
1388534400,737.67,995,340,640.79,2330427.4036729,NaN
1404172800,642.26,665,275,322.3,3233697.88168276,NaN
1420070400,322.31,322.9,166.45,262.89,6215162.54200634,NaN
1435708800,262.9,504,162,429.02,5186266.87735205,NaN
1451606400,429.17,789.78,352.5,671.9135,4457656.07781162,NaN
1467331200,671.685,984.23,470.91,970.4175,2160432.45734659,NaN
1483228800,970.7525,2975.7475,748.49525,2455.4225,5803572.14617803,NaN
1498867200,2455.01,19804.2475,1799.3,13888.3225,9226138.81259635,NaN
1514764800,13888.35,17222.6125,5743.85,6386.4525,7840328.177572,NaN
1530403200,6386.235,8489.015,3124.5125,3692.3525,5066527.063993,NaN
1546300800,3692.905,13870.6275,3331.09,10754.915,5586075.9736358,5558050.269964343
1561939200,10756.975,13196.8325,6430.145,7167.07,5066194.0807196,5811359.974000324
1577836800,7164.9025,10514.2025,3880.5875,9134.015,6676829.08524429,6145201.428262537
1593561600,9135.67,29307.5225,8909.995,28980.4525,5208376.93026984,6272308.38642603
1609459200,28976.325,64898.555,27741.085,35041.1075,7660135.73460608,6447903.843162815
1625097600,35068.0775,68997.75,29292.725,46195.56,3801682.01190568,6169810.187341504
1640995200,46252.09,48222.96,17585.31,19949.77,4784549.42450093,5804894.233016105
1656633600,19960.39,25207.71,15473.78,16528.89,5987203.87680231,5708058.924204981
1672531200,16530.33,31441.74,16491.36,30477.68,4415730.34554179,5279465.889715659
1688169600,30477.43,37980.5,24915.5,37004.06,2263460.13372945,5148522.351858371