time,open,high,low,close,Volume
1506816000,0.08854853,0.94493165,0.07904904,0.72080394,5071270281.109037
1514764800,0.72080537,1.39796354,0.12186528,0.15187263,8421488289.806005
1522540800,0.15190099,0.4104723,0.11192814,0.13794737,11925854887.371565
1530403200,0.13794268,0.19815029,0.06050128,0.08430288,12458673505.58261
1538352000,0.08417499,0.08871472,0.0266745,0.04043126,9945876585.481382
1546300800,0.04043731,0.07335644,0.03517882,0.06978425,11851271002.017778
1554076800,0.06972563,0.11665198,0.05693171,0.08152226,18296935803.955868
1561939200,0.08153787,0.09048391,0.03475625,0.03894479,10947642631.347012
1569888000,0.03897908,0.05007638,0.02990017,0.03275351,7890601568.733712
1577836800,0.03267196,0.07296857,0.017191,0.03051415,11791464902.313347
1585699200,0.03045457,0.09363155,0.02842637,0.0830282,11460979578.771894
1593561600,0.08304324,0.17196551,0.07531628,0.10132446,14178635823.100395
1601510400,0.10134869,0.20444767,0.08694118,0.18170744,10037957595.829866
1609459200,0.18197132,1.54665122,0.15711119,1.19232518,21405930544.148037
1617235200,1.19221248,2.51474382,0.89016177,1.38517498,8842908514.033085
1625097600,1.3862411,3.16006805,1.00737681,2.1152836,4585920053.992337
1633046400,2.11532523,2.42539169,1.129,1.308,3306542557.21849
1640995200,1.309,1.639,0.747,1.142,3125581361.38003
1648771200,1.14,1.247,0.384,0.46,2615645441.4000015
1656633600,0.457,0.595,0.403,0.435,1548536228.0000002
1664582400,0.435,0.44,0.239,0.246,1339112445.5000007
1672531200,0.246,0.421,0.243,0.399,1500527492.5999994
1680307200,0.399,0.462,0.22,0.287,1281077585.3999996
1688169600,0.287,0.379,0.237,0.254,716782278.1000003
1696118400,0.254,0.68,0.239,0.594,1190131294
1704067200,0.594,0.81,0.448,0.65,1002548980.6999999
1711929600,0.65,0.652,0.618,0.628,8132826.3